Library Component Count : 136

Name                Description
QTH-030-01-L-D-A    CONN HEADER HS .5MM 60POS DL AU
RC0402FR-07100RL    RES 100 OHM 1/16W 1% 0402 SMD
RC0402FR-0710KL     RES 10.0K OHM 1/16W 1% 0402 SMD
RC0402FR-0710RL     RES 10.0 OHM 1/16W 1% 0402 SMD
RC0402FR-0712KL     RES 12.0K OHM 1/16W 1% 0402 SMD
RC0402FR-0715KL     RES 15.0K OHM 1/16W 1% 0402 SMD
RC0402FR-071KL      RES 1.00K OHM 1/16W 1% 0402 SMD
RC0402FR-071ML      RES 1.00M OHM 1/16W 1% 0402 SMD
RC0402FR-071RL      RES 1.00 OHM 1/16W 1% 0402 SM
RC0402FR-07200KL    RES 200K OHM 1/16W 1% 0402 SMD
RC0402FR-0727KL     RES 27.0K OHM 1/16W 1% 0402 SMD
RC0402FR-072K2L     RES 2.20K OHM 1/16W 1% 0402 SMD
RC0402FR-073K3L     RES 3.30K OHM 1/16W 1% 0402 SMD
RC0402FR-073KL      RES 3K OHM 1/16W 1% 0402 SMD
RC0402FR-0747K5L    RES 47.5K OHM 1/16W 1% 0402 SMD
RC0402FR-0775RL     RES 75.0 OHM 1/16W 1% 0402 SMD
RC0402JR-070RL      RES 0.0 OHM 1/16W 0402 SMD
RMCF0402FT100K      RES 100K OHM 1/16W 1% 0402 SMD
RMCF0402FT240R      RES TF 240 OHM 1% 0.0625W 0402
RMCF0402FT33R0      RES TF 33 OHM 1% 1/16W 0402
RMCF0402FT365R      RES TF 365 OHM 1% 1/16W 0402
RMCF0402FT4K99      RES TF 4.99K OHM 1% 1/16W 0402
SDTitleBlock        
SGTL5000XNAA3R2     IC AUDIO CODEC STEREO 32-QFN
SI4816BDY-T1-GE3    MOSFET DL N-CH 30V 6.8A 8-SOIC
SJ1-3535NG          CONN JACK STEREO R/A 5PIN 3.5MM
SJ1-3535NG-BE       CONN JACK STEREO 5POS 3.5MM PCB
SJ1-3535NG-GR       CONN JACK STEREO 5POS 3.5MM PCB
SJ1-3535NG-PI       CONN JACK STEREO 5POS 3.5MM PCB
SN74AHC1G09DBVR     IC GATE AND SGL 2INP SOT23-5
SN74LVC1G08DCKR     SINGLE POSITIVE AND GATE SC-70
T495D337K010ATE150  CAP TANT 330UF 10V 10% 2917
T520D337M006ATE045  CAP TANT 330UF 6.3V 20% 2917
TLNS227M004R3000    CAP TANT 220UF 4V 20% 1206
TLV803SDBZR         IC VOLT SUPERVISR 2.93V SOT23-3
TPA6041A4RHBR       IC AMP AUDIO PWR 2.6W AB 32VQFN
TPS2034D            IC 3.0A POWER DIST SWITCH 8-SOIC
TPS74801DRCR        IC REG LDO ADJ 1.5A 10SON
TP_25MILC           Test Point 25mil
TSC2007IPWR         IC TOUCH SCREEN 12BIT 16TSSOP
USB2514BI-AEZG      USB HUB CONT IND TEMP 36QFNE3
